,date,pnl,pnl_pct
0,2021-01-04,10575.0,0.42300000000000004
1,2021-01-05,8200.0,0.328
2,2021-01-06,-7075.0,-0.28300000000000003
3,2021-01-07,-20800.0,-0.832
4,2021-01-08,20075.0,0.803
5,2021-01-11,-4225.000000000002,-0.16900000000000007
6,2021-01-12,27624.999999999993,1.1049999999999998
7,2021-01-13,-21200.0,-0.848
8,2021-01-14,18175.0,0.7270000000000001
9,2021-01-15,-8450.0,-0.338
10,2021-01-18,-16775.0,-0.6709999999999999
11,2021-01-19,44100.0,1.764
12,2021-01-20,19450.000000000004,0.7780000000000001
13,2021-01-29,-11800.0,-0.47200000000000003
14,2021-02-01,114450.0,4.578
15,2021-02-02,-8950.000000000002,-0.3580000000000001
16,2021-02-03,20325.0,0.8130000000000001
17,2021-02-04,12250.0,0.49
18,2021-02-05,-8125.0,-0.325
19,2021-02-08,-5250.0,-0.21
20,2021-02-09,3300.0,0.132
21,2021-02-10,-9675.0,-0.387
22,2021-02-11,4975.0,0.199
23,2021-02-12,-4575.0,-0.183
24,2021-02-15,9275.0,0.371
25,2021-02-16,-14300.0,-0.5720000000000001
26,2021-02-17,-31900.0,-1.276
27,2021-02-18,-16800.0,-0.672
28,2021-02-19,-500.0,-0.02
29,2021-02-23,-35100.0,-1.4040000000000001
30,2021-02-24,-10000.0,-0.4
31,2021-02-25,-9400.0,-0.376
32,2021-02-26,-10175.0,-0.407
33,2021-03-01,-13549.999999999996,-0.5419999999999998
34,2021-03-02,2774.9999999999986,0.11099999999999995
35,2021-03-03,60175.0,2.407
36,2021-03-04,-15075.0,-0.603
37,2021-03-05,-8650.0,-0.346
38,2021-03-08,-4424.999999999998,-0.17699999999999994
39,2021-03-09,-4300.0,-0.172
40,2021-03-10,-23400.000000000004,-0.9360000000000002
41,2021-03-12,-15450.0,-0.618
42,2021-03-15,20750.0,0.83
43,2021-03-16,-6800.0,-0.272
44,2021-03-18,-1625.0,-0.065
45,2021-03-19,54075.0,2.163
46,2021-03-22,-9549.999999999998,-0.3819999999999999
47,2021-03-23,-8000.000000000002,-0.32000000000000006
48,2021-03-24,-23200.0,-0.928
49,2021-03-25,-17050.0,-0.6819999999999999
50,2021-03-26,13700.0,0.5479999999999999
51,2021-03-30,22325.0,0.893
52,2021-03-31,-7675.0,-0.307
53,2021-04-01,13000.0,0.52
54,2021-04-05,750.0,0.03
55,2021-04-06,-27950.0,-1.118
56,2021-04-07,26825.0,1.073
57,2021-04-08,-21650.0,-0.8659999999999999
58,2021-04-09,-3250.0,-0.13
59,2021-04-13,-8124.999999999997,-0.3249999999999999
60,2021-04-15,19275.0,0.771
61,2021-04-16,-13500.0,-0.54
62,2021-04-19,12450.0,0.498
63,2021-04-20,-31325.0,-1.253
64,2021-04-22,16225.0,0.649
65,2021-04-23,9625.0,0.385
66,2021-04-26,-7325.0,-0.293
67,2021-04-28,25975.0,1.039
68,2021-04-29,-25175.0,-1.0070000000000001
69,2021-05-03,22775.0,0.911
70,2021-05-04,74.99999999999929,0.0029999999999999714
71,2021-05-05,-12000.0,-0.48
72,2021-05-06,10125.0,0.40499999999999997
73,2021-05-07,-17775.000000000004,-0.7110000000000002
74,2021-05-10,4550.0,0.182
75,2021-05-11,-12100.000000000002,-0.48400000000000004
76,2021-05-12,-22700.0,-0.9079999999999999
77,2021-05-14,2000.0,0.08
78,2021-05-17,39800.0,1.592
79,2021-05-18,2300.000000000001,0.09200000000000004
80,2021-05-21,10900.0,0.436
81,2021-05-24,-8150.0,-0.326
82,2021-05-25,-250.0,-0.01
83,2021-05-26,16000.0,0.64
84,2021-05-27,-11650.0,-0.466
85,2021-05-28,-8875.0,-0.35500000000000004
